"ID","Fecha","Sexo","Edad","Nivel_estudios","Experiencia_inversion","Intencion_ahorro","Pretest","Postest_1","Postest_2","Ansiedad","Bienestar","Intencion_compra","Necesidad_cognicion","Resiliencia","Planificacion","Confortar","Neuroticismo","Nomofobia","SARIMA_serie","ARIMA_serie","ETS_serie","GARCH_serie","VAR_serie_1","VAR_serie_2","VECM_serie_1","VECM_serie_2"
1,2024-01-08,"Mujer","18-22","Bajo","No","Bajo",5,5,8,25.9,70,70.8,52.1,50,19.3,24.6,27.8,63.2,54.8805477371818,100.565545227843,30.7372217234472,-0.624717445001537,50,40,19.46382965928,15.9039457125806
2,2024-01-09,"Mujer","18-22","Bajo","No","Bajo",7,9,9,31.7,70,84.5,39.2,48.7,16.1,25.3,28.8,65,56.7843382144909,99.2148784353841,37.6282856734941,1.33555046024258,51.0140225555757,40.6403176925339,20.7202296262462,14.7815599517299
3,2024-01-11,"Hombre","18-22","Medio","No","Bajo",4,5,5,32.5,70,66.1,42.2,50,18,18.3,27.7,64,55.8422156262244,99.746910074497,36.7125803797891,0.239253214463709,54.2298960234867,40.4069519716704,20.8743810089328,14.7741567092491
4,2024-01-14,"Mujer","33-37","Alto","SI","Alto",9,11,12,29,70,67,36.6,50,19.2,23.8,29.2,48.7,56.6377726193424,100.683032362213,30.9012356010675,1.40261785970275,51.0515110429313,42.2740875260463,21.7293057743775,16.0299469045217
5,2024-01-15,"Hombre","23-27","Bajo","No","Bajo",10,10,12,21.1,70,64.8,40.6,50,19.3,27.3,24.4,50.6,59.2102621111443,102.167443506017,33.5135030083329,-3.26192793600243,49.935206016897,40.6708096634295,22.9417559357325,17.6267159749836
6,2024-01-16,"Hombre","18-22","Medio","No","Alto",5,9,8,10,70,70.2,45.9,50,15.3,10,22,56,59.5810874946062,101.662368325728,26.406274973138,3.52281268949655,51.8615271224055,40.9187269462059,22.5406686235897,15.9349420367318
7,2024-01-19,"Hombre","38-42","Bajo","No","Bajo",11,12,12,35.5,70,59.9,31,50,11.6,23.8,35.8,43.2,58.8166950696589,99.6025483363669,27.1421125055316,2.05083498392715,48.950261344803,40.7481447742367,23.7255478298807,17.4134787503932
8,2024-01-20,"Hombre","33-37","Medio","No","Medio",7,6,9,11.2,70,65.1,39.8,50,14,22.7,23.1,63.8,60.7408288052117,98.7232008761889,23.9682424664147,3.69896302664107,50.8263561959035,40.0865432575757,23.1964229653796,18.2276946453262
9,2024-01-24,"Mujer","23-27","Bajo","No","Medio",8,9,8,29.7,70,68.1,40.3,49.8,22.5,25.1,35.5,58.6,60.5606555006345,99.3261311600144,27.901531098485,0.529788489082283,50.2860615223364,40.8061772848067,23.9959658012262,16.7103515878567
10,2024-01-26,"Hombre","23-27","Medio","No","Alto",8,9,10,18.2,70,56.1,52.8,50,23.1,19.1,26.8,51.2,62.2016976474124,102.666888069035,24.1624388343053,0.130188609836422,50.8841830569875,38.7418861162602,26.5172539664387,19.8560792324051
11,2024-01-27,"Hombre","23-27","Medio","No","Medio",10,11,12,26.7,70,59.9,25,48.9,17.8,22.1,31.4,52.5,60.6440324546645,101.827381708403,26.6011850876641,0.409869238863918,49.002467910078,39.6535625976163,24.7393064869301,18.8481571493188
12,2024-01-27,"Mujer","18-22","Alto","No","Medio",6,7,9,23.5,70,64.1,47.3,50,15.7,25.3,31.4,56.5,58.0426438703814,99.9845068149323,30.3590378431024,-0.187970181768189,50.9589746087977,39.9819503935122,24.8247144257002,19.2109365323813
13,2024-01-29,"Hombre","33-37","Bajo","SI","Medio",9,9,9,28.1,70,62.4,41.9,50,20.2,18.1,37.8,57.5,56.6396500386292,99.8620978415298,36.5507200023911,-1.2514980272591,50.1027264038875,39.9297657268588,25.8699749487196,18.4764150273729
14,2024-01-30,"Mujer","23-27","Alto","SI","Medio",8,10,10,33.5,70,60.3,49.3,48.2,16.8,18.2,33.8,70,57.3983522609159,102.585164631428,36.1448132865341,3.18299536242741,50.1361860532487,39.2193539607331,26.361874829914,19.217430760174
15,2024-01-30,"Hombre","38-42","Medio","No","Medio",9,10,11,27.9,70,61.7,42,50,19.1,21.9,35.5,45.3,57.6063137405839,103.784431987807,37.7236848657419,3.60247801320988,49.9574709262569,38.7084012821727,28.1106589743402,20.7369736983139
16,2024-01-31,"Hombre","33-37","Bajo","No","Bajo",9,8,11,39.3,70,57.4,28.2,49.6,17.9,26.6,31,57.9,56.4016589709382,103.301982677152,36.5046106321452,0.199988176934367,49.5306931966809,40.0162314840286,28.4663277923234,22.156106829358
17,2024-02-02,"Hombre","23-27","Medio","No","Medio",9,9,11,31.4,70,66.3,37.7,50,18.7,17.1,24.9,57.5,56.8305657312252,102.183448134157,36.1196356859532,-1.96262763521617,49.3643461298669,39.411963208952,31.4121108306771,24.3105152735449
18,2024-02-03,"Hombre","38-42","Alto","No","Alto",8,9,9,27.4,70,62.4,56.5,50,21.5,18.7,28.8,52.3,54.180002546716,101.738475383271,30.2568807819633,-0.602098563862344,50.5302887055956,40.4538284139581,33.8335597484138,24.5471956529646
19,2024-02-04,"Hombre","38-42","Alto","SI","Medio",7,8,10,12.3,70,78,38.3,50,16.7,18.7,24.2,57.5,53.6214963995268,102.528516825788,30.0114698383172,-2.33855017779042,51.3904605192954,40.6585915176092,33.6938229627916,26.1236107592897
20,2024-02-04,"Mujer","23-27","Bajo","SI","Bajo",8,10,11,27.3,70,50.3,42.8,47.4,17.6,19.1,35.3,58.1,53.4768246041162,102.557690404528,33.1101282974691,-1.63479822171221,50.6341537413832,38.7154251631519,34.2724568902852,25.6801997771947
21,2024-02-07,"Hombre","18-22","Medio","No","Bajo",7,10,10,32.8,70,69.3,48.2,50,17.2,22,38.3,70,54.5737414623358,102.080733533741,28.8989994133474,0.35281193039674,50.5340846403493,39.9591139827673,32.9342298985038,23.8679755994023
22,2024-02-08,"Hombre","33-37","Medio","No","Medio",8,10,12,37.6,70,51,35.3,41.2,17,25.7,36.1,51.1,51.9438725444594,102.911349297533,27.9192185562375,-0.475370765464883,49.1137293413068,39.5926500356109,30.7050860598314,23.0623885341653
23,2024-02-16,"Mujer","33-37","Bajo","No","Bajo",8,10,10,10,70,61.8,32,50,14.8,22.2,27.7,59.7,51.2950371344964,101.421138439536,29.4463842871408,-0.308339447447241,49.4219603465569,39.3756804503444,31.3059455379867,22.1733265415681
24,2024-02-20,"Hombre","18-22","Medio","No","Medio",11,12,12,19.3,70,63.2,52.4,50,19.5,17.2,28.4,54.5,50.8159572981616,100.580517822586,31.8061502339851,1.7590823141611,48.2894838754613,39.2562440985482,32.8684870346764,23.3539179581459
25,2024-02-23,"Mujer","28-32","Bajo","SI","Bajo",7,8,9,17.7,70,71.3,31.9,50,10,21.3,22,59.9,51.0617734754731,103.901232303529,33.7610908130681,0.69503837788732,50.0774385276633,38.837407889494,32.9357439543485,24.2975808033665
26,2024-02-29,"Mujer","18-22","Alto","No","Medio",8,10,10,17.2,70,67.6,39.4,50,19,20.3,29.5,54.5,48.5408576706084,102.799160221161,37.7088446630804,0.574475874711929,49.8245477420661,40.1645574008191,33.09947774019,23.7516886037522
27,2024-03-01,"Hombre","18-22","Bajo","No","Bajo",9,10,11,19.3,70,72.4,26.6,50,10,17.6,29.8,70,47.0594608777936,101.153981574853,36.0928209072396,-1.56283966305429,49.4805789423437,39.6056618135454,32.1636726097328,23.7083645490145
28,2024-03-02,"Hombre","23-27","Alto","No","Medio",8,8,9,38.2,70,63.1,48.5,44.3,17.5,24.9,41.3,67.1,46.5682999375296,101.721050558748,41.7162212306862,-1.9310127993233,50.6426891617923,38.959483978448,33.8460629952905,25.1671433728614
29,2024-03-05,"Hombre","28-32","Bajo","No","Medio",6,7,8,20.5,70,69.7,61.4,50,24.3,18.7,21.3,59.2,45.761372379842,102.953233466087,33.9294123224592,1.57197030704403,51.7998751492448,39.4005590214864,34.1012179030862,24.8377171694947
30,2024-03-06,"Mujer","38-42","Alto","No","Medio",7,7,9,31.2,70,63.1,63.1,47.2,20,22.5,27.2,50.4,45.1540705954498,103.298907816926,33.8684197638026,1.67447575605896,51.4916551836412,40.6490265551172,33.6051827338855,25.3426170793522
31,2024-03-06,"Hombre","28-32","Alto","No","Medio",7,9,10,31.6,70,65.9,43.8,50,18.7,17.8,27.6,50.2,44.5306538553322,104.638499224521,30.0086226071262,-2.52169396881215,50.777791166242,39.9804552119963,33.0500181837299,24.0206721118512
32,2024-03-07,"Mujer","23-27","Alto","SI","Alto",8,10,12,30.9,70,65.8,45.9,49.6,19.4,21.5,27.8,70,46.1900924428932,104.461372136034,27.8511980055228,0.605273194587788,49.6721817035161,41.3290170332843,30.5765108820968,23.1292940912029
33,2024-03-09,"Mujer","18-22","Bajo","No","Medio",8,9,11,14.8,70,62.8,38.7,50,21.5,20.6,26.9,67.3,44.3420663592509,104.731020412141,27.3946265768684,1.60782213118887,49.8155950629477,42.5155407581484,29.6643709470809,22.185636148809
34,2024-03-10,"Hombre","33-37","Medio","SI","Medio",8,10,11,15.4,70,62.6,42.6,50,17.1,16.4,26,55.8,42.0002989163027,105.385044133459,25.292393309222,-2.12244068769571,50.1872996587401,41.8494712417301,31.2898898279895,22.7892509264671
35,2024-03-12,"Mujer","18-22","Medio","No","Bajo",8,11,11,30.3,70,77.7,39.5,49.7,15.7,27.3,35.1,68.8,43.8527280639661,103.980553785176,30.9206110602452,3.42377545738156,49.5487115734787,39.5541881671129,29.8289705780529,20.9704196422474
36,2024-03-15,"Mujer","23-27","Alto","No","Alto",7,8,9,42.6,70,64.1,56.3,50,23.8,27.5,27.1,59.2,42.1800904540184,104.124665124809,33.1868403599866,-1.25558858486002,50.4552292675984,39.6031779362535,28.9699155135796,20.8571484002259
37,2024-03-16,"Mujer","23-27","Medio","SI","Medio",7,8,9,30.6,70,54.5,49.8,46.3,20.2,16.3,27.5,61.7,43.5315840042717,103.315325734502,31.6181873667478,4.36032698370255,50.914617026015,40.7914925856879,29.4142304431117,21.4706908637453
38,2024-03-18,"Hombre","23-27","Bajo","SI","Medio",9,11,12,34.7,70,73.8,40.2,50,12.9,25.5,38.5,69.6,42.4936039494101,103.324839089943,34.483479358749,1.12958277109829,50.0572103580747,40.4637903947032,30.0916269487168,21.8599200726395
39,2024-03-19,"Mujer","28-32","Bajo","No","Bajo",5,5,8,38.7,70,66.9,25,44.4,10,35.1,31,61.5,43.3296082438495,103.235386116635,34.25911107387,-0.9490837821332,52.4201431875404,38.2985871070402,28.5270498314797,21.4580811094167
40,2024-03-19,"Mujer","18-22","Bajo","No","Bajo",5,6,8,16,70,74.4,46.8,50,15.4,28.6,28.9,60.8,43.3881687574332,104.996570363406,39.2638165279745,1.59081104543625,53.1653561876806,39.3718687989938,28.9609655259535,21.054744505285
41,2024-03-21,"Hombre","28-32","Alto","No","Medio",6,9,10,15.2,70,75.5,58.8,50,16.3,21.5,29.6,65.4,45.4725345457108,106.993311009765,37.5033058423444,-1.93478606762487,52.2901812997585,39.2853953156518,28.1188118453863,20.096862264897
42,2024-03-21,"Mujer","33-37","Medio","No","Bajo",9,10,11,33.1,70,60.7,44.1,50,13.7,30.5,33.4,53,45.1302744821351,105.546478332341,34.1934569940681,2.23501132905677,50.1622953715584,42.1721898138589,27.4026095773008,18.7770305921995
43,2024-03-22,"Mujer","28-32","Bajo","No","Bajo",9,10,12,33.4,70,62,39.5,48.6,10,24.6,24.3,61.7,46.5630973901603,104.800925162041,34.2996955357538,5.2245156992498,49.5647773903041,41.9177994861246,26.5484437660555,19.3222794468959
44,2024-03-22,"Mujer","23-27","Bajo","No","Bajo",6,7,9,19.5,70,68.3,37.1,50,12.1,21.6,25.5,65,45.9999020755496,104.415908520021,29.2050293438804,1.38881749449472,51.2968296101379,39.9676981173261,27.6075495518847,19.4867389823209
45,2024-03-22,"Mujer","23-27","Bajo","No","Bajo",10,11,12,58.5,69.8,65.6,30.3,38.7,15.4,29.9,36.6,50.4,48.2241385505046,103.993763814026,28.665155488592,0.881246837378736,48.8288216058041,39.2800281383778,28.477144094814,20.1080702909815
46,2024-03-24,"Hombre","28-32","Medio","No","Bajo",7,9,9,10,70,78,50.2,50,17.2,20.4,19.9,54.1,47.9388021383105,102.999045003733,28.9155046767667,3.46443096400309,49.9506222275171,38.9076934095413,29.9074735305789,20.1172935784853
47,2024-03-29,"Hombre","23-27","Bajo","SI","Bajo",10,11,12,19.6,70,69.9,36.2,50,14.6,14.2,27.1,55.1,48.7247692676619,101.929408016718,30.3210823203033,-1.1892618490694,48.2568050689715,40.4996400915258,29.8239495974831,20.8326591968536
48,2024-03-31,"Mujer","18-22","Alto","No","Medio",5,7,8,37.9,70,82.6,57.1,46.8,20.3,19.7,38,58.8,50.7059432374628,105.438703005169,34.7708107168985,-0.547023580376721,50.7047896252996,42.1442047527155,28.8851980204644,20.0195412294233
